Station.Id,StationName,longitude,latitude,Easting,Northing
1,"River Street, Clerkenwell",-0.109971,51.5292,531202.52,182832.02
2,"Phillimore Gardens, Kensington",-0.197574,51.4996,525207.07,179391.86
3,"Christopher Street, Liverpool Street",-0.0846057,51.5213,532984.81,182001.53
4,"St. Chad's Street, King's Cross",-0.120974,51.5301,530436.76,182911.99
5,"Sedding Street, Sloane Square",-0.156876,51.4931,528051.649,178742.097
6,"Broadcasting House, Marylebone",-0.144229,51.5181,528857.44,181542.87
7,"Charlbert Street, St. John's Wood",-0.168074,51.5343,527158.01,183300.75
8,"Maida Vale, Maida Vale",-0.183486,51.529857,526102,182780
9,"New Globe Walk, Bankside",-0.0964408,51.5074,532203.97,180434.55
10,"Park Street, Bankside",-0.0927542,51.506,532463.89,180284.3
11,"Brunswick Square, Bloomsbury",-0.122502,51.524,530348.16,182230.04
12,"Malet Street, Bloomsbury",-0.130432,51.5217,529804.55,181963.45
13,"Scala Street, Fitzrovia",-0.13604,51.5199,529420.51,181757.11
14,"Belgrove Street, King's Cross",-0.123617,51.5299,530253.76,182894.42
15,"Great Russell Street, Bloomsbury",-0.127854,51.5177,529994.61,181528.35
16,"Cartwright Gardens, Bloomsbury",-0.125979,51.5264,530100.11,182491.47
17,"Hatton Wall, Holborn",-0.109006,51.5217,531290.96,181999.47
18,"Drury Lane, Covent Garden",-0.12222,51.5148,530393.97,181209.62
19,"Taviton Street, Bloomsbury",-0.131161,51.5251,529744.38,182336.93
20,"Drummond Street, Euston",-0.135273,51.5277,529451.5,182628.28
21,"Hampstead Road (Cartmel), Euston",-0.138846,51.5301,529256.99,182380.86
22,"Northington Street, Holborn",-0.114079,51.5223,530937.29,182057.43
23,"Red Lion Square, Holborn",-0.119123,51.5194,530595.47,181733.86
24,"British Museum, Bloomsbury",-0.124678,51.5191,530211.09,181684.46
25,"Doric Way, Somers Town",-0.13225,51.5288,529658.08,182755.67
26,"Ampton Street, Clerkenwell",-0.118295,51.5273,530630.49,182607.79
27,"Bouverie Street, Temple",-0.107928,51.5138,531388.33,181129.55
28,"Bolsover Street, Fitzrovia",-0.143614,51.5235,528884.89,182144.48
29,"Hereford Road, Bayswater",-0.193487,51.5137,525453.37,180970.67
30,"Windsor Terrace, Hoxton",-0.0934216,51.5292,532350.41,182860.8
31,"Fanshaw Street, Hoxton",-0.0833533,51.5295,533047.65,182921.6
32,"Leonard Circus, Shoreditch",-0.0844393,51.5247,532986.42,182381.31
33,"Central House, Aldgate",-0.0678275,51.5168,534009.15,181354.12
34,"Pancras Road, King's Cross",-0.129387,51.5341,529841.66,183348.98
36,"De Vere Gardens, Kensington",-0.184981,51.5017,526075.29,179650.36
37,"Penywern Road, Earl's Court",-0.192369,51.4916,525590.34,178509.69
38,"Abingdon Villas, Kensington",-0.197246,51.4974,525235.96,179145.61
39,"Shoreditch High Street, Shoreditch",-0.0781309,51.5264,533419.11,182579.78
